Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
SAMTLIGA BROTT;192 092;6 367;5 730;5 230;5 995;5 931;6 110;22 433;25 032;43 404;29 928;20 492;14 259;1 181;43 803;147 744;545
Brott mot brottsbalken;120 980;4 841;3 866;3 289;3 446;3 146;3 250;12 001;14 797;28 263;20 457;13 945;9 040;639;29 544;91 260;176
3-7 kap. Brott mot person;68 230;2 624;1 936;1 761;1 895;1 745;1 782;6 688;8 194;16 495;12 111;7 812;4 858;329;13 896;54 261;73
3 kap. Brott mot liv och hälsa;37 909;1 523;1 097;1 037;1 098;1 038;1 016;3 884;4 723;9 493;6 668;4 020;2 196;116;8 345;29 531;33
Fullbordat mord och dråp samt misshandel med dödlig utgång (1, 2, 5, 6 §);361;5;9;19;17;17;18;70;62;50;26;32;35;1;50;311;- 
Mot kvinna/flicka;71;- ;1;3;1;1;1;6;5;14;9;11;18;1;7;64;- 
Med användning av skjutvapen;8;- ;- ;- ;- ;1;- ;- ;- ;3;1;1;2;- ;1;7;- 
Utan användning av skjutvapen;63;- ;1;3;1;- ;1;6;5;11;8;10;16;1;6;57;- 
Mot man/pojke;291;5;8;16;16;16;17;64;57;37;17;21;17;- ;43;248;- 
Med användning av skjutvapen;144;4;6;11;12;12;10;37;33;10;4;5;- ;- ;12;132;- 
Utan användning av skjutvapen;147;1;2;5;4;4;7;27;24;27;13;16;17;- ;31;116;- 
Försök till mord eller dråp (1, 2 §);949;12;32;44;59;53;55;192;168;186;77;44;20;7;105;841;3
Mot barn under 18 år;80;5;9;8;8;3;6;17;8;10;3;2;- ;1;9;71;- 
Mot flicka under 18 år;34;3;2;4;2;- ;2;6;6;7;1;1;- ;- ;6;28;- 
Mot pojke under 18 år;57;2;7;4;7;3;6;13;7;4;2;1;- ;1;3;54;- 
Mot kvinna 18 år eller äldre;125;3;3;1;4;- ;5;15;17;30;18;19;8;2;17;107;1
Närstående genom parrelation;41;- ;1;- ;- ;- ;1;2;3;13;8;9;3;1;2;38;1
Närstående genom släktskap/familj;17;- ;- ;- ;- ;- ;2;1;- ;4;4;6;- ;- ;1;16;- 
Annan sorts relation eller bekantskap;37;1;1;1;3;- ;1;4;7;9;5;2;3;- ;11;26;- 
Obekanta;30;2;1;- ;1;- ;1;8;7;4;1;2;2;1;3;27;- 
Mot man 18 år eller äldre;766;6;21;34;48;51;46;162;146;153;57;25;13;4;81;683;2
Närstående genom parrelation;39;- ;1;- ;1;- ;1;1;10;9;9;5;2;- ;34;5;- 
Närstående genom släktskap/familj;27;- ;2;- ;1;1;1;2;4;6;3;6;- ;1;4;23;- 
Annan sorts relation eller bekantskap;276;1;3;10;9;12;15;51;57;70;32;8;8;- ;25;251;- 
Obekanta;452;5;15;24;38;40;30;114;82;77;14;7;3;3;20;430;2
Barnadråp (3 §);1;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;1;- ;- 
Misshandel inkl. grov, ej med dödlig utgång (5, 6 §);36 084;1 487;1 045;973;1 034;974;950;3 633;4 480;9 165;6 472;3 804;1 975;92;7 950;28 118;16
Misshandel mot barn 0-6 år;2 173;8;1;5;2;7;11;89;308;1 042;529;125;40;6;854;1 315;4
Misshandel mot flicka 0-6 år;967;4;- ;3;2;4;5;43;141;504;197;46;15;3;388;577;2
Bekant med offret;952;4;- ;3;2;4;5;42;140;500;191;43;15;3;383;567;2
Utomhus;43;- ;- ;- ;1;- ;- ;1;7;23;9;2;- ;- ;14;29;- 
Inomhus;916;4;- ;3;1;4;5;41;134;480;184;42;15;3;369;545;2
Obekant med offret;15;- ;- ;- ;- ;- ;- ;1;1;4;6;3;- ;- ;5;10;- 
Utomhus;8;- ;- ;- ;- ;- ;- ;- ;1;3;3;1;- ;- ;3;5;- 
Inomhus;7;- ;- ;- ;- ;- ;- ;1;- ;1;3;2;- ;- ;2;5;- 
Misshandel mot pojke 0-6 år;1 365;4;1;3;- ;3;6;50;191;624;363;88;29;3;529;834;2
Bekant med offret;1 337;2;1;3;- ;3;6;50;190;619;354;81;25;3;520;815;2
Utomhus;83;- ;1;- ;- ;- ;- ;1;13;32;22;6;7;1;30;53;- 
Inomhus;1 267;2;- ;3;- ;3;6;50;178;592;336;76;19;2;492;773;2
Obekant med offret;29;2;- ;- ;- ;- ;- ;- ;1;6;9;7;4;- ;9;20;- 
Utomhus;14;1;- ;- ;- ;- ;- ;- ;- ;3;5;4;1;- ;3;11;- 
Inomhus;15;1;- ;- ;- ;- ;- ;- ;1;3;4;3;3;- ;6;9;- 
Misshandel mot barn 7-14 år;4 746;568;189;95;67;48;44;100;235;1 455;1 277;507;144;17;1 708;3 032;6
Misshandel mot flicka 7-14 år;2 239;202;81;42;32;23;25;40;122;702;668;237;55;10;1 025;1 212;2
Bekant med offret;2 102;171;67;31;26;22;21;31;115;688;652;224;46;8;951;1 149;2
Utomhus;280;83;35;15;7;9;6;5;9;43;50;15;3;- ;156;124;- 
Inomhus;1 870;91;34;17;23;14;16;26;107;660;620;211;43;8;813;1 055;2
Obekant med offret;151;38;16;11;6;1;4;11;7;15;17;14;9;2;84;67;- 
Utomhus;101;24;12;9;5;- ;4;8;6;9;11;8;5;- ;55;46;- 
Inomhus;51;15;4;2;1;1;- ;3;1;6;6;6;4;2;29;22;- 
Misshandel mot pojke 7-14 år;2 780;380;109;59;38;25;20;66;127;858;698;299;94;7;779;1 997;4
Bekant med offret;2 338;295;77;36;22;14;11;44;111;783;629;252;60;4;727;1 607;4
Utomhus;363;159;33;11;7;4;- ;5;12;45;58;27;2;- ;37;326;- 
Inomhus;2 018;144;47;25;15;10;11;39;100;752;582;231;58;4;697;1 317;4
Obekant med offret;460;90;35;25;16;11;9;23;16;76;72;50;34;3;53;407;- 
Utomhus;343;64;27;20;13;11;8;19;13;53;51;33;28;3;37;306;- 
Inomhus;121;26;11;5;4;- ;1;4;3;23;21;17;6;- ;16;105;- 
Misshandel mot barn 15-17 år;3 796;764;574;456;287;174;103;213;135;325;451;240;64;10;872;2 919;5
Misshandel mot flicka 15-17 år;1 572;244;192;157;115;81;48;97;56;166;242;140;29;5;693;874;5
Bekant med offret;1 356;214;166;135;101;63;37;79;42;136;225;131;22;5;590;761;5
Utomhus;439;114;84;64;50;27;12;29;10;16;16;15;2;- ;229;210;- 
Inomhus;967;104;91;79;61;37;26;54;36;125;210;119;20;5;373;589;5
Obekant med offret;238;34;34;26;18;18;11;19;14;30;17;10;7;- ;119;119;- 
Utomhus;163;19;27;17;13;13;9;14;9;21;13;3;5;- ;88;75;- 
Inomhus;80;16;8;9;5;7;3;5;5;9;4;7;2;- ;36;44;- 
Misshandel mot pojke 15-17 år;2 299;534;393;311;178;99;58;121;81;164;217;103;35;5;193;2 106;- 
Bekant med offret;1 517;428;279;207;103;55;29;58;27;87;160;69;14;1;149;1 368;- 
Utomhus;734;211;176;120;62;35;19;33;9;29;28;9;2;1;44;690;- 
Inomhus;825;228;111;96;46;22;10;25;18;60;135;61;13;- ;108;717;- 
Obekant med offret;841;122;136;114;80;46;29;65;54;77;59;34;21;4;44;797;- 
Utomhus;668;95;112;86;64;38;21;56;45;64;44;27;14;2;27;641;- 
Inomhus;179;30;24;28;17;8;8;11;9;13;15;7;7;2;17;162;- 
Misshandel mot kvinna 18 år eller äldre;14 788;125;137;175;240;264;327;1 466;2 060;4 067;2 800;1 939;1 165;23;2 519;12 267;2
Närstående genom parrelation;7 558;4;5;14;37;58;106;606;1 084;2 411;1 606;1 078;542;7;195;7 362;1
Närstående genom släktskap/familj;2 289;45;43;47;54;49;53;244;276;559;435;312;170;2;487;1 802;- 
Annan sorts relation eller bekantskap;4 061;52;47;64;92;87;106;450;562;997;733;532;333;6;1 184;2 876;1
Utomhus;1 269;19;15;30;46;36;47;153;183;297;213;145;83;2;503;766;- 
Inomhus;2 900;34;34;36;48;55;61;312;395;722;540;403;256;4;720;2 179;1
Obekanta;2 113;27;46;53;68;86;85;280;317;467;291;195;190;8;753;1 360;- 
Utomhus;1 140;14;28;35;43;61;50;166;184;241;146;90;80;2;398;742;- 
Inomhus;1 005;13;18;19;26;26;37;123;140;230;149;106;112;6;367;638;- 
Misshandel mot man 18 år eller äldre;14 651;190;291;375;574;590;563;2 158;2 208;3 485;2 210;1 312;659;36;2 897;11 753;1
Närstående genom parrelation;1 739;1;5;9;20;26;28;155;261;558;404;198;73;1;1 506;233;- 
Närstående genom släktskap/familj;1 238;23;21;27;31;46;31;129;192;284;213;162;78;1;316;922;- 
Annan sorts relation eller bekantskap;5 848;72;114;129;201;215;201;881;910;1 403;879;544;283;16;760;5 087;1
Utomhus;2 804;37;65;82;129;130;114;447;410;612;403;242;125;8;250;2 554;- 
Inomhus;3 212;35;51;53;80;89;92;463;525;835;503;315;163;8;531;2 680;1
Obekanta;6 554;102;159;224;345;326;340;1 108;976;1 447;809;455;245;18;492;6 062;- 
Utomhus;4 535;80;135;181;272;252;252;749;647;962;515;322;154;14;293;4 242;- 
Inomhus;2 189;24;28;45;84;83;96;389;362;524;315;140;95;4;211;1 978;- 
Vållande till annans död (7, 10 §);126;1;1;1;2;3;6;11;9;25;15;22;25;5;28;94;4
I samband med trafikolycka;69;1;1;- ;2;3;2;8;4;12;6;12;16;2;9;58;2
I samband med arbetsolycka;14;- ;- ;- ;- ;- ;2;- ;1;2;4;2;1;2;1;11;2
Övriga fall;43;- ;- ;1;- ;- ;2;3;4;11;5;8;8;1;18;25;- 
Vållande till kroppskada eller sjukdom, inte i samband med trafikolycka (8, 10 §;581;10;9;10;5;7;7;41;53;114;91;114;111;9;217;356;8
I samband med arbetsolycka;41;- ;- ;- ;- ;1;- ;3;2;7;6;8;5;9;3;30;8
Övriga fall;540;10;9;10;5;6;7;38;51;107;85;106;106;- ;214;326;- 
Framkallande av fara för annan (9, 10 §);367;29;20;14;12;14;8;33;36;73;42;34;49;3;54;311;2
Fara som framkallats för arbetstagare;25;- ;1;- ;- ;- ;1;- ;1;9;2;6;3;2;10;13;2
Övriga fall;342;29;19;14;12;14;7;33;35;64;40;28;46;1;44;298;- 
4 kap. Brott mot frihet och frid;36 144;1 205;952;804;841;805;846;3 219;4 307;9 122;6 810;4 392;2 718;123;7 130;28 994;20
Människorov (1 §);510;6;11;21;42;39;29;110;91;102;35;20;3;1;41;469;- 
Människohandel (1 a §);63;1;- ;2;1;2;1;6;12;18;9;6;2;3;16;46;1
Människohandel för sexuella ändamål ;36;- ;- ;1;- ;1;- ;5;8;8;5;4;2;2;11;24;1
Med barn under 18 år;1;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;- ;1;- 
Med person 18 år eller äldre;35;- ;- ;1;- ;1;- ;5;7;8;5;4;2;2;11;23;1
Människohandel för tvångsarbete;10;1;- ;- ;- ;- ;- ;- ;- ;4;2;2;- ;1;2;8;- 
Med barn under 18 år;1;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;1;- 
Med person 18 år eller äldre;9;1;- ;- ;- ;- ;- ;- ;- ;4;1;2;- ;1;2;7;- 
